Lap,HAM,VER,LEC,VET,ALB,NOR,RIC,SAI,HUL,PER,GAS,STR,KVY,MAG,GRO,GIO,RAI,RUS,KUB,BOT
1,71,43,46,41,34,37.0,34.0,35.0,59.0,51.0,18.0,38.0,39.0,38.0,35.0,33.0,39.0,56.0,38.0,49
2,74,50,60,45,38,40.0,43.0,40.0,59.0,49.0,10.0,47.0,39.0,47.0,41.0,39.0,42.0,59.0,48.0,57
3,75,52,64,49,40,40.0,43.0,41.0,59.0,47.0,11.0,47.0,39.0,46.0,37.0,41.0,39.0,55.0,47.0,58
4,73,48,60,46,35,33.0,38.0,35.0,54.0,41.0,17.0,44.0,35.0,40.0,31.0,38.0,33.0,50.0,44.0,54
5,72,48,60,45,34,31.0,37.0,33.0,54.0,41.0,18.0,45.0,36.0,40.0,30.0,37.0,32.0,49.0,44.0,56
6,70,46,60,44,34,31.0,37.0,33.0,54.0,41.0,17.0,42.0,37.0,40.0,31.0,36.0,32.0,49.0,45.0,59
7,70,44,60,44,32,31.0,37.0,32.0,53.0,41.0,17.0,42.0,36.0,39.0,30.0,35.0,32.0,48.0,45.0,59
8,70,44,59,44,31,30.0,37.0,32.0,53.0,41.0,17.0,41.0,36.0,38.0,30.0,34.0,32.0,48.0,46.0,60
9,69,43,59,43,31,29.0,37.0,32.0,53.0,41.0,17.0,41.0,37.0,38.0,29.0,32.0,32.0,48.0,46.0,61
10,69,42,59,43,32,29.0,37.0,32.0,53.0,41.0,18.0,40.0,37.0,37.0,28.0,33.0,32.0,47.0,46.0,61
11,69,42,59,42,32,30.0,37.0,32.0,53.0,41.0,18.0,39.0,36.0,37.0,28.0,33.0,32.0,47.0,46.0,61
12,69,41,60,42,32,30.0,37.0,32.0,53.0,40.0,19.0,39.0,36.0,37.0,28.0,33.0,32.0,47.0,46.0,61
13,70,41,60,41,32,30.0,38.0,31.0,53.0,40.0,18.0,40.0,36.0,37.0,27.0,34.0,32.0,47.0,46.0,62
14,70,41,60,41,32,30.0,38.0,31.0,53.0,39.0,19.0,40.0,36.0,37.0,27.0,34.0,32.0,47.0,46.0,62
15,70,40,61,41,32,30.0,38.0,31.0,54.0,39.0,20.0,40.0,36.0,37.0,28.0,34.0,32.0,46.0,46.0,63
16,70,40,61,40,32,30.0,38.0,31.0,54.0,38.0,23.0,39.0,35.0,37.0,27.0,34.0,32.0,46.0,46.0,63
17,70,39,61,40,32,30.0,38.0,30.0,54.0,38.0,22.0,39.0,35.0,37.0,27.0,34.0,32.0,46.0,46.0,62
18,69,39,61,39,32,30.0,38.0,30.0,54.0,38.0,23.0,39.0,35.0,37.0,27.0,34.0,32.0,46.0,46.0,63
19,69,39,61,39,32,30.0,38.0,31.0,54.0,39.0,23.0,39.0,35.0,38.0,27.0,34.0,32.0,46.0,46.0,63
20,69,39,61,39,32,30.0,38.0,31.0,53.0,39.0,23.0,39.0,36.0,38.0,27.0,34.0,32.0,46.0,46.0,64
21,68,39,61,39,32,31.0,39.0,30.0,54.0,40.0,23.0,39.0,37.0,38.0,27.0,34.0,32.0,46.0,46.0,64
22,68,39,61,39,32,31.0,39.0,30.0,54.0,40.0,23.0,39.0,37.0,38.0,27.0,33.0,32.0,45.0,46.0,64
23,68,39,61,39,32,30.0,39.0,30.0,54.0,40.0,23.0,39.0,38.0,39.0,27.0,33.0,31.0,45.0,46.0,64
24,68,39,61,39,32,31.0,39.0,30.0,53.0,41.0,22.0,38.0,38.0,39.0,26.0,33.0,31.0,45.0,46.0,65
25,68,38,61,39,32,31.0,39.0,30.0,53.0,41.0,22.0,38.0,38.0,40.0,26.0,32.0,32.0,45.0,45.0,65
26,68,38,60,39,32,31.0,39.0,30.0,52.0,42.0,22.0,39.0,39.0,40.0,27.0,32.0,32.0,45.0,45.0,65
27,67,38,60,40,32,31.0,39.0,30.0,52.0,42.0,22.0,39.0,39.0,40.0,27.0,32.0,32.0,44.0,44.0,65
28,67,38,60,39,32,31.0,38.0,30.0,52.0,43.0,22.0,39.0,39.0,41.0,27.0,31.0,32.0,44.0,44.0,65
29,67,38,59,39,33,31.0,38.0,30.0,52.0,43.0,22.0,40.0,40.0,42.0,28.0,32.0,32.0,44.0,44.0,65
30,67,38,59,40,33,30.0,38.0,29.0,51.0,44.0,22.0,40.0,40.0,42.0,28.0,32.0,32.0,44.0,44.0,65
31,66,38,59,39,33,30.0,38.0,29.0,51.0,44.0,22.0,40.0,41.0,42.0,28.0,32.0,32.0,44.0,44.0,65
32,66,39,59,39,33,30.0,38.0,29.0,51.0,44.0,22.0,40.0,41.0,42.0,28.0,32.0,33.0,44.0,44.0,65
33,66,39,59,39,33,30.0,37.0,30.0,51.0,44.0,22.0,40.0,41.0,42.0,28.0,32.0,33.0,44.0,44.0,65
34,66,38,59,39,33,31.0,37.0,30.0,51.0,44.0,22.0,40.0,41.0,43.0,28.0,32.0,33.0,44.0,43.0,66
35,66,38,59,39,33,31.0,38.0,30.0,51.0,45.0,22.0,40.0,42.0,43.0,28.0,33.0,33.0,44.0,43.0,66
36,66,38,60,39,33,31.0,38.0,30.0,51.0,45.0,22.0,40.0,42.0,43.0,28.0,33.0,33.0,44.0,43.0,66
37,66,38,60,39,33,31.0,38.0,30.0,52.0,46.0,22.0,40.0,42.0,43.0,28.0,33.0,33.0,44.0,43.0,66
38,66,37,60,39,33,31.0,38.0,30.0,52.0,46.0,22.0,40.0,42.0,42.0,28.0,33.0,32.0,44.0,43.0,66
39,66,37,59,39,33,31.0,38.0,30.0,52.0,45.0,22.0,40.0,43.0,42.0,29.0,32.0,32.0,44.0,43.0,66
40,66,37,59,39,33,31.0,38.0,30.0,52.0,45.0,22.0,40.0,43.0,42.0,29.0,32.0,32.0,44.0,43.0,66
41,66,37,59,39,33,31.0,38.0,30.0,52.0,45.0,22.0,39.0,42.0,42.0,29.0,32.0,32.0,44.0,43.0,66
42,66,36,59,39,33,31.0,37.0,30.0,51.0,45.0,22.0,39.0,42.0,41.0,29.0,32.0,32.0,44.0,43.0,66
43,66,36,59,39,33,31.0,37.0,30.0,51.0,45.0,22.0,39.0,42.0,41.0,29.0,31.0,32.0,44.0,43.0,66
44,66,36,59,39,32,31.0,37.0,30.0,51.0,45.0,21.0,38.0,42.0,41.0,28.0,31.0,32.0,44.0,43.0,66
45,66,35,59,39,32,31.0,37.0,30.0,51.0,45.0,21.0,38.0,42.0,41.0,28.0,31.0,32.0,44.0,43.0,66
46,66,35,59,39,32,31.0,37.0,30.0,51.0,45.0,21.0,,42.0,41.0,28.0,31.0,32.0,44.0,43.0,66
47,65,35,58,39,32,31.0,37.0,30.0,51.0,45.0,21.0,,42.0,41.0,28.0,31.0,32.0,44.0,43.0,67
48,65,34,58,39,32,30.0,38.0,30.0,50.0,45.0,21.0,,42.0,40.0,28.0,30.0,32.0,44.0,43.0,67
49,65,34,58,39,32,30.0,38.0,30.0,50.0,45.0,21.0,,42.0,40.0,28.0,30.0,32.0,45.0,43.0,67
50,65,34,57,39,32,30.0,38.0,30.0,50.0,45.0,21.0,,42.0,40.0,28.0,30.0,32.0,44.0,43.0,68
51,65,34,57,39,32,30.0,38.0,31.0,50.0,45.0,21.0,,42.0,40.0,28.0,30.0,31.0,45.0,43.0,67
52,65,34,57,40,32,30.0,38.0,31.0,50.0,45.0,21.0,,42.0,40.0,28.0,30.0,31.0,45.0,43.0,67
53,65,33,56,40,32,30.0,38.0,31.0,51.0,45.0,21.0,,42.0,40.0,28.0,30.0,31.0,45.0,43.0,68
54,65,33,56,39,32,30.0,38.0,31.0,51.0,44.0,,,42.0,39.0,28.0,30.0,31.0,45.0,,68
55,65,33,56,39,32,,,,,,,,,,,,,,,68
